model,input_width,trainable_parameters,seed,threshold_validation,f1_multifatal,precision_multifatal,recall_multifatal,pr_auc,roc_auc
one_hot_canonico,169,12993,42,0.65,0.3942307692307692,0.28738317757009346,0.6275510204081632,0.3366581050873884,0.8151415222408254
embeddings,54,6042,42,0.6,0.4,0.2785571142284569,0.7091836734693877,0.3180795380550154,0.8133173446762296
