dimension,segmento,n,prevalencia,pr_auc,mejora_sobre_prevalencia
Año,2025,678,0.10471976401179942,0.2963392394929243,2.82983104755215
Año,2024,1554,0.09716859716859717,0.3424233226787406,3.5240122082302174
Red vial,URBANO,565,0.033628318584070796,0.05911713710664586,1.7579569718555217
Red vial,PROVINCIAL,228,0.12280701754385964,0.3379559203346302,2.751926779867703
Red vial,NACIONAL,1192,0.11241610738255034,0.32782396427019095,2.9161654135079673
Red vial,DEPARTAMENTAL,176,0.1590909090909091,0.5346805034083191,3.360848878566577
Zona,RURAL,1221,0.14742014742014742,0.3658718562670425,2.4818307583447714
Zona,URBANA,1000,0.04,0.10133392441891573,2.533348110472893
