baseline,metric,mlp,baseline_value,delta_mlp_minus_baseline,delta_ci95_low,delta_ci95_high,prob_mlp_better,nominal_significant_at_5pct,bootstrap_samples
LogisticRegression_balanced,pr_auc,0.3253659243334752,0.2847968533147413,0.040569071018733915,0.011089124270263064,0.07085415826846161,0.997,True,2000
LogisticRegression_balanced,roc_auc,0.7916207252028149,0.778024292949666,0.013596432253148882,0.0038423028462694327,0.02384477802517234,0.9965,True,2000
LogisticRegression_balanced,f1_multifatal,0.4030075187969925,0.37325038880248834,0.02975712999450414,0.0033985777047733576,0.057565444210559126,0.9885,True,2000
RandomForest_balanced,pr_auc,0.3253659243334752,0.3156143827207297,0.009751541612745496,-0.025628582565314716,0.040738360262608686,0.657,False,2000
RandomForest_balanced,roc_auc,0.7916207252028149,0.7881538254672583,0.0034668997355565834,-0.008491129722341636,0.014917918533184152,0.7035,False,2000
RandomForest_balanced,f1_multifatal,0.4030075187969925,0.37780713342140027,0.025200385375592216,0.0016586989235126389,0.04790282186764827,0.9805,True,2000
