fraccion,n_entrenamiento,pr_auc_mediana,pr_auc_min,pr_auc_max
0.25,1218,0.2956822725187034,0.2250610841202952,0.31502166034004164
0.5,2436,0.31058768479606286,0.3029408993954757,0.32512288739452566
0.75,3654,0.31558880144122675,0.31032432382178976,0.320571386705114
1.0,4872,0.3295837083260723,0.3194232478034992,0.3355742505893649
