row_index,fecha,departamento,actual_multifatal,raw_probability,raw_threshold,raw_prediction,calibration_method,calibrated_probability,calibrated_threshold,calibrated_prediction
6935,2024-01-14,ICA,0,0.0040738913,0.8,0,platt,0.009314463123002074,0.3,0
6936,2024-01-14,AYACUCHO,1,0.9454221,0.8,1,platt,0.5357635354747278,0.3,1
6937,2024-01-14,APURIMAC,0,0.028760297,0.8,0,platt,0.028563103308797688,0.3,0
6938,2024-01-15,PUNO,0,0.17281388,0.8,0,platt,0.08307249023347821,0.3,0
6939,2024-01-15,LIMA,0,0.026761733,0.8,0,platt,0.027402690831219836,0.3,0
6940,2024-01-15,LIMA,0,0.71425873,0.8,0,platt,0.2745366285936549,0.3,0
6941,2024-01-15,TUMBES,0,6.4749904e-05,0.8,0,platt,0.0008625227812136057,0.3,0
6942,2024-01-15,AMAZONAS,0,0.05052976,0.8,0,platt,0.03958195693337602,0.3,0
6943,2024-01-15,HUANCAVELICA,1,0.6871464,0.8,0,platt,0.25995009166491023,0.3,0
6944,2024-01-15,LA LIBERTAD,0,0.02189855,0.8,0,platt,0.02441794542985902,0.3,0
6945,2024-01-16,ICA,0,0.009469916,0.8,0,platt,0.015100071081771159,0.3,0
6946,2024-01-17,JUNIN,0,0.0028220366,0.8,0,platt,0.007547065335245922,0.3,0
6947,2024-01-17,LIMA,0,0.008320811,0.8,0,platt,0.014021834380020094,0.3,0
6948,2024-01-17,PUNO,0,0.00066501775,0.8,0,platt,0.003292533621286418,0.3,0
6949,2024-01-17,CUSCO,0,0.064467065,0.8,0,platt,0.04564370636576906,0.3,0
6950,2024-01-17,TUMBES,0,0.00048042426,0.8,0,platt,0.0027314547492690434,0.3,0
6951,2024-01-18,CAJAMARCA,0,0.45429045,0.8,0,platt,0.1672796852503846,0.3,0
6952,2024-01-18,HUANCAVELICA,1,0.78436184,0.8,0,platt,0.31958782420822335,0.3,1
6953,2024-01-18,PIURA,0,0.6527936,0.8,0,platt,0.24309649402722566,0.3,0
6954,2024-01-18,LIMA,0,0.001120189,0.8,0,platt,0.004442018375164109,0.3,0
6955,2024-01-18,LIMA,0,0.007837413,0.8,0,platt,0.013549377241826024,0.3,0
6956,2024-01-19,JUNIN,1,0.8279932,0.8,1,platt,0.3556549935342233,0.3,1
6957,2024-01-19,PUNO,0,0.2039225,0.8,0,platt,0.09246559361197801,0.3,0
6958,2024-01-20,LIMA,0,0.00526927,0.8,0,platt,0.010793713277699023,0.3,0
6959,2024-01-20,PUNO,0,0.00074665365,0.8,0,platt,0.0035189745479279003,0.3,0
6960,2024-01-21,LA LIBERTAD,0,0.13782081,0.8,0,platt,0.07205761097173063,0.3,0
6961,2024-01-21,PASCO,0,2.0475368e-06,0.8,0,platt,0.000118056732405562,0.3,0
6962,2024-01-21,CAJAMARCA,0,0.7403918,0.8,0,platt,0.28991780635477427,0.3,0
6963,2024-01-21,PIURA,0,0.0017312581,0.8,0,platt,0.005702766955503245,0.3,0
6964,2024-01-21,LA LIBERTAD,0,0.041405525,0.8,0,platt,0.03525654261035005,0.3,0
6965,2024-01-22,LIMA,0,0.0054174303,0.8,0,platt,0.01096651995027841,0.3,0
6966,2024-01-22,LIMA,0,0.00045843245,0.8,0,platt,0.0026588814621694916,0.3,0
6967,2024-01-22,LA LIBERTAD,0,0.00039724496,0.8,0,platt,0.0024487186964986737,0.3,0
6968,2024-01-22,CAJAMARCA,0,0.0011101067,0.8,0,platt,0.00441902235650449,0.3,0
6969,2024-01-23,JUNIN,0,0.8427314,0.8,1,platt,0.36993064302850165,0.3,1
6970,2024-01-23,TUMBES,0,1.35235005e-05,0.8,0,platt,0.0003501237562757408,0.3,0
6971,2024-01-23,AYACUCHO,1,0.85168415,0.8,1,platt,0.3792651694670111,0.3,1
6972,2024-01-23,LA LIBERTAD,0,0.67221344,0.8,0,platt,0.2524212780379231,0.3,0
6973,2024-01-24,PIURA,0,0.000161238,0.8,0,platt,0.001458004566097979,0.3,0
6974,2024-01-24,PUNO,1,0.93225646,0.8,1,platt,0.5026874910675169,0.3,1
6975,2024-01-24,AYACUCHO,0,0.14649625,0.8,0,platt,0.07484672318739,0.3,0
6976,2024-01-24,LA LIBERTAD,0,0.09519035,0.8,0,platt,0.05751570113893805,0.3,0
6977,2024-01-24,CAJAMARCA,0,0.00011905468,0.8,0,platt,0.0012245599832418203,0.3,0
6978,2024-01-24,AREQUIPA,0,0.16092338,0.8,0,platt,0.07939498122780289,0.3,0
6979,2024-01-24,SAN MARTIN,0,0.06400427,0.8,0,platt,0.04545092001389035,0.3,0
6980,2024-01-24,CAJAMARCA,0,0.001335764,0.8,0,platt,0.004914235698009969,0.3,0
