dataset,calibrador,brier_score,ece_10_bins,promedio_score,prevalencia_observada,pr_auc,roc_auc
test,isotonic,0.08717422187328339,0.016084711559629546,0.09673704952001572,0.10175695461200586,0.19515683325120198,0.7399136925178683
test,platt,0.08552523702383041,0.017060610025270265,0.09745708107948303,0.10175695461200586,0.20375911151516257,0.7474274858841534
test,raw_sigmoid,0.21389636397361755,0.3154355858453982,0.41719257831573486,0.10175695461200586,0.20375911151516257,0.7474274858841534
validation,isotonic,0.08302415907382965,6.5097129869244165e-09,0.10175695270299911,0.10175695461200586,0.2329485024417059,0.7580048430693097
validation,platt,0.08561141043901443,0.015239728361062733,0.10176162421703339,0.10175695461200586,0.22470853738436758,0.7416228386483967
validation,raw_sigmoid,0.22542615234851837,0.33285860623482555,0.43447649478912354,0.10175695461200586,0.22470853738436758,0.7416228386483967
