arquitectura,capas_ocultas,neuronas_totales,parametros,pr_auc_mediana,pr_auc_iqr,epoca_mediana
64,1,64,10945,0.39061371011241713,0.012326461366680086,11.0
128,1,128,21889,0.38471463415299145,0.004347996512913899,10.0
128-64,2,192,30081,0.3833208017100856,0.010759741047530802,13.0
128-64-32,3,224,32129,0.3831328889619667,0.010299713483987116,15.0
64-32-16,3,112,13505,0.38217557327052104,0.006416526173493198,29.0
256-128,2,384,76545,0.3800633955148509,0.0046118126907440105,6.0
32,1,32,5473,0.3763371205219323,0.0034610319654676536,26.0
64-32,2,96,12993,0.37343205690446163,0.016240268983978012,16.0
32-16,2,48,5985,0.3727243172293325,0.0029990198717785854,21.0
