fold,config_id,seed,calibration_method,calibrated_threshold,f1_multifatal,precision_multifatal,recall_multifatal,pr_auc,roc_auc
rolling_1,MLP_32_16,42,platt,0.2,0.39603960396039606,0.3041825095057034,0.5673758865248227,0.34585738175263225,0.7960670535138621
rolling_2,MLP_32,42,platt,0.15,0.36772486772486773,0.24821428571428572,0.7091836734693877,0.3259471767185608,0.8089647721616363
