comparison,partition,metric,single_estimate,ensemble_estimate,delta,ci_2_5,ci_97_5,bootstrap_iterations,seed
ensemble_3_seeds - single_canonical,validation_2023,pr_auc,0.3366581050873884,0.336306246209889,-0.00035185887749938916,-0.017473852494037934,0.019197515848326376,2000,20260721
ensemble_3_seeds - single_canonical,validation_2023,roc_auc,0.8151415222408254,0.8167111634010589,0.0015696411602335036,-0.004300444562721714,0.007109217949481213,2000,20260721
ensemble_3_seeds - single_canonical,validation_2023,f1_multifatal,0.3942307692307692,0.39800995024875624,0.003779181017987021,-0.017321174157428718,0.022722883487871992,2000,20260721
