model,probability_scale,threshold_source,n,positives,class_rate,threshold,f1_multifatal,precision_multifatal,recall_multifatal,pr_auc,roc_auc,brier,ece_10_bins
MLP_definitiva,raw,2023 threshold-validation policy,2232,222,0.09946236559139784,0.65,0.4030075187969925,0.30248306997742663,0.6036036036036037,0.3253659243334752,0.7916207252028149,0.16421911120414734,0.23384416398448757
MLP_definitiva,platt,2023 OOF calibration/threshold-validation policy,2232,222,0.09946236559139784,0.15,0.39893617021276595,0.2830188679245283,0.6756756756756757,0.3253659243334752,0.7916207252028149,0.07771894431136563,0.013263074379969311
DummyClassifier_prior,raw,2023 threshold-validation policy,2232,222,0.09946236559139784,0.1,0.18092909535452323,0.09946236559139784,1.0,0.09946236559139784,0.5,0.089596825075011,0.005217437364267177
LogisticRegression_balanced,raw,2023 threshold-validation policy,2232,222,0.09946236559139784,0.65,0.37325038880248834,0.2850356294536817,0.5405405405405406,0.2847968533147413,0.778024292949666,0.16711794280193612,0.23632722035848105
RandomForest_balanced,raw,2023 threshold-validation policy,2232,222,0.09946236559139784,0.35,0.37780713342140027,0.2672897196261682,0.6441441441441441,0.3156143827207297,0.7881538254672583,0.09789570628392806,0.11237565084689531
