seed,epochs_ran,best_epoch,trainable_parameters,selected_threshold,f1_multifatal,precision_multifatal,recall_multifatal,pr_auc,roc_auc
42,59,39,6042,0.65,0.44063324538258575,0.34791666666666665,0.6007194244604317,0.3960395747391973,0.8261603251458778
314,55,35,6042,0.7,0.4248062015503876,0.37329700272479566,0.49280575539568344,0.40123318293302684,0.8214703441606388
2718,66,46,6042,0.6,0.4412121212121212,0.3327239488117002,0.6546762589928058,0.3923812471413394,0.8259332588425172
