threshold,f1_multifatal,precision_multifatal,recall_multifatal
0.05,0.19028062970568105,0.10514372163388805,1.0
0.1,0.20501474926253688,0.114215283483977,1.0
0.15,0.21656050955414013,0.12175470008952552,0.9784172661870504
0.2,0.2271186440677966,0.1287223823246878,0.9640287769784173
0.25,0.24292237442922374,0.13912133891213388,0.9568345323741008
0.3,0.2578740157480315,0.14937286202964653,0.9424460431654677
0.35,0.27438370846730975,0.16120906801007556,0.920863309352518
0.4,0.2808219178082192,0.16689280868385345,0.8848920863309353
0.45,0.2804878048780488,0.16886930983847284,0.8273381294964028
0.5,0.2929427430093209,0.17973856209150327,0.7913669064748201
0.55,0.29806259314456035,0.18796992481203006,0.7194244604316546
0.6,0.2915951972555746,0.19144144144144143,0.6115107913669064
0.65,0.30390143737166325,0.21264367816091953,0.5323741007194245
0.7,0.2694300518134715,0.21052631578947367,0.37410071942446044
0.75,0.22950819672131148,0.21084337349397592,0.2517985611510791
0.8,0.21428571428571427,0.2823529411764706,0.17266187050359713
0.85,0.06289308176100629,0.25,0.03597122302158273
0.9,0.014285714285714285,1.0,0.007194244604316547
0.95,0.0,0.0,0.0
