audit_id,dropout,l2,seeds,median_pr_auc,iqr_pr_auc,median_roc_auc,iqr_roc_auc,median_f1_multifatal,iqr_f1_multifatal,median_precision_multifatal,iqr_precision_multifatal,median_recall_multifatal,iqr_recall_multifatal
L2 + dropout (canónica),0.35,0.0003,3,0.33462956280724115,0.006844481572482686,0.8139904520566541,0.002150832616860443,0.4025974025974026,0.0082826985459995,0.29523809523809524,0.017414799859762797,0.6326530612244898,0.03571428571428559
Solo L2,0.0,0.0003,3,0.33459575253481944,0.007887193433032347,0.8107917779085028,0.004819222589257377,0.3926940639269406,0.004244913770145242,0.2863741339491917,0.004390565364232879,0.6326530612244898,0.03826530612244894
Solo dropout,0.35,0.0,3,0.3318460052664385,0.011446735924840079,0.8106560251595095,0.0033457396262275285,0.393026941362916,0.014681669691470056,0.2850574712643678,0.020460290882826138,0.6071428571428571,0.028061224489795977
Sin L2 ni dropout,0.0,0.0,3,0.33022492333978354,0.005984225817151245,0.8078363274356306,0.006480779673288306,0.3904923599320883,0.0020861768589722773,0.2926208651399491,0.01193370165745855,0.5867346938775511,0.04081632653061229
