epoca,train_mediana,val_mediana,val_min,val_max
1,0.2437759713909768,0.22533999030214746,0.19027108864958717,0.2661174424273023
2,0.30921608192137917,0.2677145135884251,0.21835841161852676,0.30467804946081034
3,0.33791862328914923,0.29056271630935493,0.23457648286751664,0.3141009290202566
4,0.3569408575139412,0.3003405392329552,0.26169471470750266,0.31859899566447136
5,0.3660094181035514,0.3044356572786333,0.2856649546638388,0.32615831631967357
6,0.37682888130258635,0.31155452184523713,0.2969795955408906,0.32923588613946797
7,0.386430944515041,0.3176822456054548,0.3047486683441225,0.3292002799151234
8,0.396301988726957,0.32255616596007214,0.30687573973756294,0.3316771434663873
9,0.4024603483720331,0.32292265063711295,0.30861310040894335,0.3365842528725781
10,0.40828731226315945,0.3261380122692007,0.31240392045857496,0.33520325791547045
11,0.4137508063410648,0.32640044471263113,0.3148133428680662,0.3338159029837453
12,0.4194115231729644,0.32780377939389244,0.31715627965354787,0.33180430360224206
13,0.4261316846409698,0.3320041319792679,0.32016161880057503,0.3353861343398556
14,0.43147366389090563,0.32815605704106965,0.3200087681500548,0.3366581050873884
15,0.4384306341056444,0.32699672539622177,0.31692505097418067,0.3386115002819217
16,0.44233434588054604,0.32622892656886526,0.3195307927875756,0.3340212200467664
17,0.44556435171763165,0.32689112484620353,0.31843981994102977,0.32836617573669497
18,0.4535498435226294,0.3288480229384075,0.32056804311168385,0.3294709768163271
19,0.4582188905509838,0.3298840514960148,0.321800024001946,0.3319356307103358
20,0.46175685702957403,0.3302322059621282,0.32284302868884907,0.3323822471306463
21,0.4693953825649617,0.33206285649497513,0.322575559046888,0.3355521830109521
22,0.47586681620417026,0.33255546862794555,0.3235912791664825,0.33462956280724115
23,0.481141280472265,0.3311545021997196,0.32229778983806895,0.33492497753204836
24,0.4830426633398205,0.3315058004066577,0.3181985931502882,0.3323461923790066
25,0.4896862850326397,0.3325253276494417,0.3224174912655145,0.3334561176113032
26,0.49491715584606444,0.3286732902993208,0.3217912218183118,0.33174916861270604
27,0.5045018265104444,0.32884525063614334,0.3236981329657227,0.3338039696256161
28,0.5085796461220415,0.32712670273782185,0.3249225371369564,0.33030007295882957
29,0.5083400165534432,0.3249913529113304,0.32146983288115044,0.32851324095239964
30,0.5143897145126665,0.3266497335066948,0.3207956140264746,0.32925389663420357
31,0.5209170469130493,0.32819046383454187,0.32208991535086956,0.32831330346004534
32,0.5305765302231378,0.32665138224342727,0.32121716512615495,0.32755590178380734
33,0.5339804709801138,0.32457086577206046,0.317604263208074,0.32905588015152987
34,0.5388384681882601,0.32379909255716066,0.31933715240180943,0.3279903436882555
35,0.5397350746961581,0.3219474615790921,0.31763111168708325,0.3221745444622499
36,0.5493030106612624,0.32138475880360506,0.3159350788640406,0.3263458810507531
37,0.5573036229902671,0.32165268457121976,0.31767759032323534,0.3270834938420375
38,0.5667461223289274,0.32715572162962286,0.31827742141002685,0.3272535483910927
39,0.5697144195094581,0.32156925597414,0.3183227079614095,0.32368047509135733
40,0.5756610236021363,0.3244469469599108,0.31437897813249877,0.3276771756748913
41,0.5808676780595401,0.3189998118896149,0.3152414352414095,0.3233192534650807
42,0.5792640907394848,0.31637796591004125,0.31307756115837687,0.31807774644139064
43,0.592211777566649,0.3167606090408488,0.3092341892517319,0.320915965189892
44,0.5958722049414502,0.31583377765608067,0.30516332879883384,0.3234763737468534
45,0.6003403720609953,0.31748683371569403,0.3085366099636922,0.31766720598898635
46,0.6041838362413471,0.3185617359955295,0.31020934122390453,0.31939490204342164
47,0.6105155137381991,0.31742454597692427,0.3108287108967298,0.31981911464622614
48,0.6118060057019514,0.3144099667335453,0.3002037564995923,0.32298520903981254
49,0.6209570456699477,0.31822651129471025,0.3062992490416016,0.3223852287156215
50,0.6248976754235758,0.3119611219890945,0.303530081154392,0.32234857311896487
51,0.6351856287609603,0.31154518279556437,0.3025705822597569,0.31765438715176186
52,0.6299358424614359,0.3085803511378281,0.30648378216745303,0.320928766897142
53,0.6489049392008238,0.3113165296849166,0.3066780727391374,0.3176943236776073
54,0.6478397115723686,0.3134372559805768,0.30884082319041267,0.3188567535793171
55,0.6571493026342021,0.30941506001072583,0.30131883827860617,0.3171741985540429
56,0.664702201760794,0.3093759537454595,0.3037358061368226,0.31805124308514976
57,0.6668819197157709,0.31233796544668213,0.30315804611006053,0.314895494849636
58,0.6659803640852,0.3106659123436907,0.2982176464909565,0.32355121561077543
59,0.6702255033754626,0.31247467070956386,0.30360244029452177,0.3183794127380326
60,0.686020662750742,0.31026606887793656,0.2986594796348208,0.317661028460199
61,0.6783104419054176,0.30699004779697064,0.3009805281066328,0.3203224535625644
62,0.6965498716072928,0.30921501861275236,0.2961438521892909,0.3174511602615088
63,0.6839627083435803,0.3148951530815904,0.29192003433399794,0.3154877083410264
64,0.7055999891746823,0.3079188747175259,0.29482085919072176,0.3184323806885281
65,0.7086076584720702,0.31241687270319896,0.29408391437233894,0.3171026315654483
66,0.7141170549619423,0.30186165285035754,0.2942453214583567,0.3233944206586758
67,0.7112748600294172,0.30784244342603445,0.29358653109892285,0.324598551951395
68,0.7156900324481941,0.30705114099457537,0.29367358743620586,0.3169242998863979
69,0.7258278208738153,0.30627285798390447,0.29379524518623934,0.3181964003717574
70,0.7269636948534415,0.30537482733329036,0.29457398435788396,0.3201600324530084
