row_index,fecha,departamento,actual_multifatal,raw_probability,raw_threshold,raw_prediction,calibration_method,calibrated_probability,calibrated_threshold,calibrated_prediction,error_type,distance_to_threshold
7713,2024-07-09,ICA,1,0.60438114,0.65,0,platt,0.16826901730400284,0.2,0,false_negative,0.03173098269599717
8441,2025-01-04,CUSCO,1,0.6041849,0.65,0,platt,0.16816463809488197,0.2,0,false_negative,0.03183536190511804
6909,2024-01-08,LA LIBERTAD,1,0.60383934,0.65,0,platt,0.16798097026089573,0.2,0,false_negative,0.03201902973910428
7214,2024-03-15,CAJAMARCA,1,0.59981394,0.65,0,platt,0.16585735288632428,0.2,0,false_negative,0.034142647113675734
8759,2025-04-01,HUANCAVELICA,1,0.59782284,0.65,0,platt,0.16481753650372905,0.2,0,false_negative,0.035182463496270966
8709,2025-03-20,AREQUIPA,1,0.59674275,0.65,0,platt,0.1642563694056729,0.2,0,false_negative,0.035743630594327114
8274,2024-11-23,SAN MARTIN,1,0.59055585,0.65,0,platt,0.16108053673484238,0.2,0,false_negative,0.03891946326515763
7791,2024-07-28,CAJAMARCA,1,0.588746,0.65,0,platt,0.16016374076120668,0.2,0,false_negative,0.03983625923879333
7746,2024-07-17,AREQUIPA,0,0.6588443,0.65,1,platt,0.20023069117126852,0.2,1,false_positive,0.00023069117126850447
8154,2024-10-24,AREQUIPA,0,0.65914977,0.65,1,platt,0.20042866518955146,0.2,1,false_positive,0.0004286651895514526
8828,2025-05-17,AYACUCHO,0,0.65930754,0.65,1,platt,0.20053100735356785,0.2,1,false_positive,0.0005310073535678417
8973,2025-08-25,HUANCAVELICA,0,0.6597347,0.65,1,platt,0.20080842002601262,0.2,1,false_positive,0.0008084200260126129
7982,2024-09-08,PUNO,0,0.65988594,0.65,1,platt,0.20090672880905142,0.2,1,false_positive,0.0009067288090514047
7463,2024-05-13,CUSCO,0,0.6601332,0.65,1,platt,0.2010675871425322,0.2,1,false_positive,0.0010675871425321892
7547,2024-06-03,CAJAMARCA,0,0.6602894,0.65,1,platt,0.2011693077896298,0.2,1,false_positive,0.0011693077896297865
7704,2024-07-08,CAJAMARCA,0,0.66053015,0.65,1,platt,0.20132618070919425,0.2,1,false_positive,0.0013261807091942412
8189,2024-10-31,LA LIBERTAD,0,0.6607386,0.65,1,platt,0.2014621201972138,0.2,1,false_positive,0.0014621201972137843
8391,2024-12-23,LA LIBERTAD,0,0.6612279,0.65,1,platt,0.20178165973591397,0.2,1,false_positive,0.0017816597359139597
7361,2024-04-19,HUANCAVELICA,0,0.66148794,0.65,1,platt,0.20195173749107936,0.2,1,false_positive,0.0019517374910793528
8836,2025-05-20,CUSCO,0,0.661828,0.65,1,platt,0.20217438678276392,0.2,1,false_positive,0.0021743867827639096
7563,2024-06-06,LA LIBERTAD,0,0.6619397,0.65,1,platt,0.20224758733495837,0.2,1,false_positive,0.002247587334958362
8407,2024-12-27,LA LIBERTAD,0,0.6619944,0.65,1,platt,0.2022834569876418,0.2,1,false_positive,0.002283456987641791
7486,2024-05-18,CUSCO,0,0.66209847,0.65,1,platt,0.20235170061095134,0.2,1,false_positive,0.0023517006109513294
