feature,mean_abs_shap
modalidad_despiste,0.08658511041849852
mes,0.025717988190081628
modalidad_atropello,0.02507242899783887
nocturno,0.017651920386590064
hora_cos,0.017459819553939267
hora_sin,0.017396776129156934
anio,0.015609305780346404
KILOMETRO,0.014953120989861417
region_costa,0.01265698905571844
region_sierra,0.012149952160019893
franja_noche,0.011570474575167283
modalidad_choque,0.011447325554127702
dia_semana,0.01032570362014485
departamento_lima,0.010188710576265294
departamento_piura,0.008723155704617966
departamento_puno,0.008062004313454963
departamento_la_libertad,0.007352078003197675
via_freq,0.006075536289997672
via_prefijo_pe,0.006044298147142399
departamento_moquegua,0.00579085028526606
